name,ingredients
Tomato Fried Rice,"rice, tomato, onion, garlic, oil, salt"
Veg Pulao,"rice, peas, carrot, beans, onion, cumin, oil, salt"
Masala Omelette,"egg, onion, tomato, green chili, salt, pepper, oil"
Grilled Cheese Sandwich,"bread, cheese, butter"
Pasta Alfredo,"pasta, cream, cheese, garlic, butter, salt, pepper"
Veg Salad,"lettuce, tomato, cucumber, carrot, olive oil, salt"
Paneer Butter Masala,"paneer, butter, tomato, cream, onion, garlic, spices"
Chicken Curry,"chicken, onion, tomato, garlic, ginger, spices, oil"
Fruit Smoothie,"banana, strawberry, milk, honey"
Vegetable Soup,"carrot, beans, peas, cabbage, onion, garlic, salt, pepper"
